Unique_id,Name,Street,City,State,Categories,Zip_Code
dd3ef1193777e485495c61ef45266bfe,Ogawa Cafe,36 E 4th St,New York,NY,"Sushi Bars, Japanese Restaurants, Asian Restaurants, Take Out Restaurants, Family Style Restaurants, Restaurants",10003
722b2d6911dd4a1a5f30254e7e3d3d2f,America,9 E 18th St,New York,NY,"American Restaurants, Bars, Restaurants",10003
46b292f8111373ac9c543363db217964,Windows On India Restaurant,97 1st Ave,New York,NY,"Indian Restaurants, Asian Restaurants, Bars, Breakfast, Brunch & Lunch Restaurants, Restaurants",10003
2c77ab027ad808cb4dc1c84ba0876d52,Quantum Leap Natural Foods Restaurant,203 1st Ave,New York,NY,"Family Style Restaurants, Restaurants",10003
b0b6a377d04bf72cf3a3865d3d171f4e,Devi,8 E 18th St,New York,NY,"Indian Restaurants, Asian Restaurants, Middle Eastern Restaurants, Take Out Restaurants, Caterers, Restaurants",10003
55571b29b6a9e2218df453059818eef1,Sharaku,14 Stuyvesant St,New York,NY,"Japanese Restaurants, Asian Restaurants, Restaurants",10003
868df6f97e052752fd9fd0dcbafa6eed,Mj Armstrongs,329 1st Ave,New York,NY,"American Restaurants, Restaurants",10003
ece9ff2d2a844d73ceda27a47b79d8b8,Gyu-Kaku,34 Cooper Sq,New York,NY,"Restaurants, Japanese Restaurants, Asian Restaurants",10003
ac630a0218c7e5b4b8cffc5f4d2daf80,Brick Lane Curry House,306 E 6th St,New York,NY,"Indian Restaurants, Take Out Restaurants, Restaurant Delivery Service, Caterers, Middle Eastern Restaurants, Asian Restaurants, Restaurants",10003
591ed954bce2ae14c5dc8ec6a1bc448f,Lantern Thai Kitchen,311 2nd Ave,New York,NY,"Thai Restaurants, Asian Restaurants, Breakfast, Brunch & Lunch Restaurants, Caterers, Restaurants",10003
0c7b533d20ea2b27a1e666eaa0e681f3,Lil' Frankies Pizza,19 1st Ave,New York,NY,"Pizza, Italian Restaurants, Take Out Restaurants, Caterers, Bar & Grills, Restaurants",10003
02d2dd67458e59e2ad82f5587db8edc6,Candela,92 2nd Ave Frnt 1,New York,NY,"Italian Restaurants, Bars, Breakfast, Brunch & Lunch Restaurants, Caterers, Restaurants",10003
be4f18367d4147588a0bd52e0caebf49,211 New Taco Grill,211 E 14th St,New York,NY,"Mexican Restaurants, Latin American Restaurants, Take Out Restaurants, Bar & Grills, Restaurants",10003
0e2a899c4993002516e25e68182f7ad6,Pukk,71 1st Ave,New York,NY,"Vegetarian Restaurants, Take Out Restaurants, Thai Restaurants, Breakfast, Brunch & Lunch Restaurants, Vegan Restaurants, Asian Restaurants, Health Food Restaurants, Delicatessens, Restaurants",10003
d46118e65241cce43b2c7047a04d9d97,Sobaya,229 E 9th St,New York,NY,"Japanese Restaurants, Asian Restaurants, Family Style Restaurants, Restaurants",10003
1a6e2084c305b91f8d691c17d7c7fe30,Hawkers,225 E 14th St,New York,NY,"Sushi Bars, Japanese Restaurants, Thai Restaurants, Asian Restaurants, Restaurants",10003
f2207d8bd648fb98f80d5575566513d8,Grand Sichuan International St Mark's,21 Saint Marks Pl,New York,NY,"Chinese Restaurants, Asian Restaurants, Japanese Restaurants, Restaurants",10003
